List of Templates,,,,,,,,
,,,,,,,,
Linked Headers,Template Name,Template Registration Number,Template Content,Communication Type,Created by,Template Status,Template Registered On Airtel (Y/N),Template Created On
"	KVCUTN","	Autumn Break Holidays - 2021","	1007010649327783639","	Dear Parents,  This is to inform that Autumn Break Holidays starts from {#var#} to {#var#}  Vidyalaya reopens on{#var#} Principal, KV CUTN Thiruvarur.","	Service Implicit","	AIRTEL","	REGISTERED","	Y","	08-10-2021 09:49:29"
"	KVCUTN","	IX ","	1007049019130773064","	Dear Parents of  Class – IX Term {#var#}Examination will be held offline for class X as per the time-table circulated w.e.f.{#var#}to {#var#}  See to it your wards are attending the {#var#}Examinations without fail.  Attendance for Examinations is compulsory.  Exam time 8.30am to 11.001m,  Also arrange transportations accordingly to drop and pick up your wards.  Principal,  KV CUTN, Thiruvarur.","	Service Implicit","	AIRTEL","	REGISTERED","	Y","	23-09-2021 13:10:12"
