TEMPLATE ID,TELEMARKETER,TEMPLATE NAME,TYPE,HEADER,CATEGORY,REGISTERED DLT,REQUESTED ON,STATUS DATE,APPROVAL STATUS,STATUS,TEMPLATE MESSAGE,CONSENT TYPE,REJECTION REASON
''1007163947289654679'',--,Contest extend dec,Service-Explicit,SHSWAL,--,Airtel,14-Dec-2021 14:38:17,14-Dec-2021 14:53:16,Approved,Active,"Dear Partner, Good News! BIG BLAST 30% Accelerator on Life Insurance & 20% extra for Annual Club extended till 16th December. Shriram Wealth Ltd.",Explicit,--
''1007163913324733288'',--,Login Max LI,Service-Explicit,SHSWAL,--,Airtel,10-Dec-2021 16:17:27,11-Dec-2021 10:14:59,Approved,Active,"Dear Partner, Accelerator is ending on 13th December. Login Maximum Life Insurance to get huge benefits. Shriram Wealth Ltd.",Explicit,--
