TEMPLATE ID,TELEMARKETER,TEMPLATE NAME,TYPE,HEADER,CATEGORY,REGISTERED DLT,REQUESTED ON,STATUS DATE,CREATED BY,BLACKLISTED BY,APPROVAL STATUS,STATUS,TEMPLATE MESSAGE,CONSENT TYPE,REASON
'1107163955496229566',--,Bridesmaid Offer,Service-Explicit,PRNJEW,--,Vodafone Idea,15-Dec-2021 13:26:02,15-Dec-2021 23:45:36,JAYAVEL,--,Approved,Active,"Prince Jewellery Bridesmaid Collection Offer! Flat Rs.150/-Less per gram on Gold Jewellery, Flat 10% off per ct on Diamond Jewellery.TC.PH:{#var#}",Explicit,--
'1107163490501365512',--,Dia 2021,Service-Explicit,PRNJEW,--,Vodafone Idea,22-Oct-2021 17:46:54,22-Oct-2021 20:21:07,JAYAVEL,--,Approved,Active,ALERT! The BIG Diamond Sale at Prince Jewellery. Flat 15% Off on diamond jewellery. Hurry!! T&C T:{#var#}.,Explicit,--
