TEMPLATE ID,TELEMARKETER,TEMPLATE NAME,TYPE,HEADER,CATEGORY,REGISTERED DLT,REQUESTED ON,STATUS DATE,CREATED BY,BLACKLISTED BY,APPROVAL STATUS,STATUS,TEMPLATE MESSAGE,CONSENT TYPE,REASON
'1107164189823233024',--,Daily Gold Rate - Covid,Service-Explicit,PRNJEW,--,Vodafone Idea,11-Jan-2022 16:20:32,11-Jan-2022 21:33:19,JAYAVEL,--,Approved,Active,"Dear Customer, Today's Rate-Morning-22Kt Gold-Rs. {#var#}/Gm; Silver-Rs.{#var#}/Gm. Valet Parking Available. PRINCE JEWELLERY. Ph:{#var#}",Explicit,--
'1107163972525198466',--,CTRLF2_OFFERNO,Service-Explicit,PRNJEW,--,Vodafone Idea,17-Dec-2021 12:44:12,17-Dec-2021 16:43:00,JAYAVEL,--,Approved,Active,"Dear Sir, {#var#} is the OTP. VA:{#var#},MC:{#var#}, DIA:{#var#},STN:{#var#}, MRP:{#var#},PT:{#var#}, SL:{#var#} from {#var#} USER:{#var#}. Prince Jewellery",Explicit,--
